gameCover	gameGenre	gamePhrase	gamePlatform	gameRating	gameReview	gameTitle	gameCoverID
http://assets1.ignimgs.com/2017/08/25/f1-2017-esrb-ps4-1503687746881_160h.jpg		Great	PlayStation 4	8.9	http://www.ign.com/articles/2017/08/24/f1-2017-review	F1 2017	400
http://assets1.ignimgs.com/2017/08/24/madden-18-ps4-1503613879409_160h.jpg	Sports	Great	PlayStation 4	8.6	http://www.ign.com/articles/2017/08/23/madden-nfl-18-review	Madden NFL 18	401
http://assets1.ignimgs.com/2017/07/20/yakuza-kiwami-m-1500572193349_160h.jpg	Action	Good	PlayStation 4	7.9	http://www.ign.com/articles/2017/08/21/yakuza-kiwami-review	Yakuza Kiwami	402
http://assets1.ignimgs.com/2017/08/11/uncharted-lost-legacy---button-f-1502413916063_160h.jpg	Action	Good	PlayStation 4	7.5	http://www.ign.com/articles/2017/08/16/uncharted-the-lost-legacy-review	Uncharted: The Lost Legacy	403
http://assets1.ignimgs.com/2015/08/26/lawbreakers-button-01jpg-4a919a_160h.jpg	Shooter	Good	PlayStation 4	7.9	http://www.ign.com/articles/2017/08/10/lawbreakers-review-in-progress	LawBreakers	404
http://assets1.ignimgs.com/2013/08/13/undertale-generaljpg-88267f_160h.jpg	RPG	Masterpiece	PlayStation 4	10.0	http://www.ign.com/articles/2017/08/15/undertale-review	Undertale	405
http://assets1.ignimgs.com/2017/07/28/agents-of-mayhem-esrb-ps4-1501277420569_160h.jpg	Action	Good	PlayStation 4	7.1	http://www.ign.com/articles/2017/08/15/agents-of-mayhem-review	Agents of Mayhem	406
http://assets1.ignimgs.com/2017/06/28/matterfall-button-00-1498611563767_160h.jpg	Shooter	Good	PlayStation 4	7.0	http://www.ign.com/articles/2017/08/14/matterfall-review	Matterfall	407
http://assets1.ignimgs.com/2016/07/23/sonic-mania-button-2jpg-7ced37_160h.jpg	Platformer	Great	PlayStation 4	8.7	http://www.ign.com/articles/2017/08/14/sonic-mania-review	Sonic Mania	408
http://assets1.ignimgs.com/2017/06/05/mega-man-legacy-2---button-1-1496677897438_160h.jpg	Action	Okay	PlayStation 4	6.0	http://www.ign.com/articles/2017/08/08/mega-man-legacy-collection-2-review	Mega Man Legacy Collection 2	409
http://assets2.ignimgs.com/2014/08/12/hellbladeartjpg-8de04c_160h.jpg	Action	Amazing	PlayStation 4	9.0	http://www.ign.com/articles/2017/08/07/hellblade-senuas-sacrifice-review	Hellblade: Senua's Sacrifice	410
